trial,t,X1,X2,X3,X4,X5
9,4.450635062566579,13,11,25,8,8
9,4.457915246926391,13,11,25,6,8
9,4.465997060106403,13,11,25,5,7
9,4.466746610981405,12,12,25,5,7
9,4.471363452827986,12,12,25,5,5
9,4.476536794911663,13,11,25,5,5
9,4.485025670480976,12,12,25,5,5
9,4.4867000217301305,12,12,25,5,7
9,4.489341030130996,12,12,25,4,6
9,4.497275383633243,12,12,25,6,6
9,4.499593243454209,13,11,25,6,6
9,4.5086106954847915,13,11,25,7,7
9,4.509141786654935,14,10,25,7,7
9,4.514809526111462,14,10,25,7,5
9,4.516359347409146,13,11,25,7,5
9,4.518557348391272,14,10,25,7,5
9,4.527078371263347,15,9,25,7,5
9,4.543712552231537,14,10,25,7,5
9,4.54523917839594,14,10,25,5,5
9,4.545421644643797,13,11,25,5,5
9,4.548489545601147,12,12,25,5,5
9,4.559693893058323,12,12,25,5,7
9,4.566635559051029,12,12,25,4,6
9,4.572374741743959,12,12,25,4,4
9,4.575799215659764,13,11,25,4,4
9,4.579158445549146,13,11,25,6,4
9,4.581296272026423,14,10,25,6,4
9,4.590685754637036,13,11,25,6,4
9,4.593930039903799,13,11,25,6,6
9,4.595274615516874,14,10,25,6,6
9,4.600436533902366,14,10,25,8,6
9,4.602646179215602,13,11,25,8,6
9,4.607261773550931,14,10,25,8,6
9,4.620925496820609,13,11,25,8,6
9,4.622821199246008,13,11,25,7,5
9,4.624151535682053,12,12,25,7,5
9,4.6433535333625375,13,11,25,7,5
9,4.652922473347255,12,12,25,7,5
9,4.657924940643181,12,12,25,5,5
9,4.6600553208572135,12,12,25,7,5
9,4.6683802105107155,13,11,25,7,5
9,4.6703888289879,13,11,25,6,4
9,4.678454329089809,14,10,25,6,4
9,4.682112840013563,14,10,25,7,5
9,4.6844224505589,15,9,25,7,5
9,4.6851579008345965,16,8,25,7,5
9,4.685729751517884,16,8,25,5,5
9,4.7002194062861316,16,8,25,5,7
9,4.701137076105064,15,9,25,5,7
9,4.701943464268085,15,9,25,4,6
9,4.702732079702664,14,10,25,4,6
9,4.706885070876807,14,10,25,4,8
9,4.708492334678061,13,11,25,4,8
9,4.715851091061739,13,11,25,5,9
9,4.716582043564177,14,10,25,5,9
9,4.723640745263147,13,11,25,5,9
9,4.723927438824958,13,11,25,4,8
9,4.724736995209992,14,10,25,4,8
9,4.727904122312694,13,11,25,4,8
9,4.729632176449284,13,11,25,6,8
9,4.730331053975687,13,11,25,4,8
9,4.737720820504052,14,10,25,4,8
9,4.738642683407039,14,10,25,4,6
9,4.739348603314442,15,9,25,4,6
9,4.743386611897439,15,9,25,4,4
9,4.745984392609792,14,10,25,4,4
9,4.758324837987518,13,11,25,4,4
9,4.763408238691042,13,11,25,4,2
9,4.7681936440651835,12,12,25,4,2
9,4.770894423130473,12,12,25,4,4
9,4.7715571556261605,12,12,25,4,6
9,4.778908591207328,12,12,25,4,4
9,4.785777014069468,12,12,25,6,4
9,4.789202109700858,11,13,25,6,4
9,4.796636442092817,10,14,25,6,4
9,4.801320600068026,10,14,25,8,4
9,4.80292362188791,9,15,25,8,4
9,4.810337053761309,9,15,25,7,3
9,4.812166030338747,10,14,25,7,3
9,4.825142309076004,11,13,25,7,3
9,4.826569138355424,12,12,25,7,3
9,4.829181905498656,12,12,25,6,2
9,4.8291873800328835,11,13,25,6,2
9,4.855582648199467,12,12,25,6,2
9,4.858358875178317,13,11,25,6,2
9,4.861488634987745,13,11,25,7,3
9,4.862497309364513,14,10,25,7,3
9,4.871445130767459,14,10,25,8,4
9,4.877117763139569,14,10,25,6,4
9,4.885682865563297,14,10,25,6,6
9,4.900167721367215,13,11,25,6,6
9,4.901212579517561,13,11,25,6,4
9,4.90645004630544,13,11,25,6,6
